0,7112
3.05,4534
6.1,10105
9.15,11077
12.2,15415
15.25,19955
18.3,18294
21.35,19272
24.4,14200
27.45,13088
30.5,10447
33.55,6866
36.6,7297
39.65,5737
42.7,6551
45.75,5320
48.8,6305
51.85,6758
54.9,7004
57.95,6573
61,7992
64.05,6329
67.1,4928
70.15,4172
73.2,3835
76.25,3408
79.3,2857
82.35,2149
85.4,2502
88.45,2376
91.5,2904
94.55,2743
97.6,3318
100.65,3313
103.7,3949
106.75,3912
109.8,4311
112.85,4511
115.9,5107
118.95,7197
122,5296
125.05,4265
128.1,3707
131.15,2895
134.2,2040
137.25,1526
140.3,1051
143.35,768
146.4,563
149.45,348
152.5,253
155.55,192
158.6,147
161.65,122
164.7,95
167.75,87
170.8,59
173.85,46
176.9,12
179.95,5
